Hotel Name,Rating
Hotel Middle Path & Spa,Scored 9.3 9.3
Gantavya Resort,Scored 8.0 8.0
Basundhara Resort Pokhara,Scored 8.8 8.8
Hotel Pauwa Pokhara,Scored 7.6 7.6
Kuti Resort & Spa,Scored 8.3 8.3
Hotel Matina Suites,Scored 8.5 8.5
Annapurna Boutique Hotel,Scored 9.0 9.0
Hotel Kaavi,Scored 8.4 8.4
Hotel Blue Magnet,Scored 7.5 7.5
Pokhara Boutique Hotel,Scored 9.1 9.1
Hotel Dashain,Scored 10 10
Temple Himalaya Hotel & Spa,Scored 9.1 9.1
Hotel Greenland,Scored 8.8 8.8
Hotel Mera Peak Private Limited,Scored 8.8 8.8
Majestic Lake Front Hotel & Suites,Scored 8.6 8.6
Teeka Resort Suites & Spa,Scored 7.9 7.9
Bar Peepal Resort,Scored 9.4 9.4
Chautari Boutique Hotel,Scored 8.5 8.5
Hotel Sandalwood,Scored 9.2 9.2
Lake View Resort,Scored 8.5 8.5
Pokhara Choice Inn,Scored 9.2 9.2
Hotel Liberty,Scored 7.7 7.7
Pokhara Backpackers Hostel,Scored 9.1 9.1
Hotel Chino Pokhara,Scored 9.2 9.2
Hotel Eco Tree Pokhara,Scored 8.2 8.2
Hotel Grand Holiday,Scored 8.1 8.1
Hotel Lake Star,Scored 8.6 8.6
Jade City Hotel,Scored 7.4 7.4
Gusto Accommodation,Scored 8.7 8.7
Hotel Iceland,Scored 8.5 8.5
Nishan Apartments -Lakeside,Scored 9.6 9.6
Sarangkot Mountain Lodge,Scored 9.4 9.4
Hotel Peace Plaza,Scored 9.2 9.2
The Country Yard,Scored 8.2 8.2
My Hotel Pvt Ltd,Scored 7.5 7.5
Hotel Portland,Scored 8.5 8.5
Paradise Boutique Hotel,Scored 9.1 9.1
Hotel Task International,Scored 7.9 7.9
Three Jewels Boutique Hotel,Scored 9.1 9.1
Pokhara Alpine and Springs,Scored 9.1 9.1
Superview Lodge Sarangkot,Scored 7.7 7.7
Hotel Spring,Scored 9.4 9.4
Hotel Pokhara View,Scored 8.8 8.8
Butterfly Lodge,Scored 9.0 9.0
Hotel Himalayan Vacation,Scored 8.5 8.5
Kiwi Backpackers Hostel Pokhara,Scored 9.2 9.2
Hotel Karuna,Scored 9.1 9.1
Himalayan Front Hotel by KGH Group,Scored 8.6 8.6
Hotel Adam,Scored 9.0 9.0
Hotel Barahi Pokhara,Scored 8.8 8.8
Landmark Pokhara,Scored 7.7 7.7
